//Tenc48_T20.57_6.23_21.19_b3651_euc.txt
//STE
//diff grad duration: 20.57 ms & 21.19 ms
//pulse duration: 6.23 ms
//slew rate: 60 T/m/s
//gradient amplitude: 290 mT/m
//b-value: ~3500 s/mm2
//euclidian Norm
0.00000  0.00000  0.00000
-0.10671  0.10671  0.10671
-0.21342  0.21342  0.21342
-0.32013  0.32013  0.32013
-0.42684  0.42684  0.42684
-0.53355  0.53355  0.53355
-0.59580  0.64026  0.54694
-0.59078  0.72195  0.44023
-0.56635  0.79502  0.33352
-0.48027  0.77601  0.22681
-0.37356  0.73696  0.12010
-0.26685  0.68621  0.01339
-0.16014  0.62509 -0.09332
-0.05343  0.55506 -0.20003
 0.03262  0.45304 -0.30674
 0.11327  0.34633 -0.41345
 0.19358  0.23962 -0.52016
 0.27042  0.13291 -0.62687
 0.34072  0.02621 -0.73357
 0.43553 -0.08050 -0.84028
 0.54224 -0.09922 -0.78587
 0.64895 -0.08338 -0.67916
 0.75566 -0.06209 -0.57245
 0.86237 -0.03434 -0.46574
 0.96703 -0.00093 -0.35903
 1.00000 -0.01945 -0.25232
 0.95476 -0.10372 -0.14561
 0.84805 -0.21043 -0.03890
 0.74134 -0.31714  0.06781
 0.63463 -0.41867  0.17452
 0.52792 -0.50454  0.28123
 0.42121 -0.57900  0.38794
 0.31450 -0.64195  0.49464
 0.20779 -0.69340  0.60135
 0.10108 -0.73353  0.70806
 0.01713 -0.71119  0.74697
 0.03485 -0.64026  0.64026
 0.08312 -0.53355  0.53355
 0.12712 -0.42684  0.42684
 0.16671 -0.32013  0.32013
 0.20184 -0.21342  0.21342
 0.10671 -0.10671  0.10671
 0.00000  0.00000  0.00000
